id,product_id,raw_text,ingredient_name,amount,unit,percentage
777,103,Ethylhexylpalmitate,Ethylhexylpalmitate,,,
778,103,Caprylic/Capric Triglyceride,Caprylic/Capric Triglyceride,,,
779,103,Gliserin,Gliserin,,,
780,103,Cetrimonium Chloride,Cetrimonium Chloride,,,
781,103,Tocopherol,Tocopherol,,,
782,103,Panthenol,Panthenol,,,
783,103,Cyclopentasiloxane (and) dimethiconol,Cyclopentasiloxane (and) dimethiconol,,,
784,103,EDTA,EDTA,,,
785,103,Phenonip,Phenonip,,,
786,103,Allantoin,Allantoin,,,
787,103,Sodium Benzoate,Sodium Benzoate,,,
788,103,Potassium Sorbate,Potassium Sorbate,,,
789,103,Perfume. Citric acid,Perfume. Citric acid,,,
790,103,Propolis,Propolis,,,
791,103,Royal Jelly,Royal Jelly,,,
792,103,Panax Ginseng Extract,Panax Ginseng Extract,,,
793,103,Bee Pollen Extract,Bee Pollen Extract,,,
794,103,Vitis Vinifera (Grape) Seed Extract,Vitis Vinifera (Grape) Seed Extract,,,
795,103,Selenium Sulfide,Selenium Sulfide,,,
796,103,Honey Extract,Honey Extract,,,
801,104,Standardize Çörekotu Tozu (85%) 750 mg,Standardize Çörekotu Tozu,750,mg,85%
802,104,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (15%) 130 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),130,mg.,15%
804,105,Standardize Üzüm Çekirdeği Tozu (86%) 800 mg,Standardize Üzüm Çekirdeği Tozu,800,mg,86%
805,105,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (14%) 130 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),130,mg.,14%
806,106,Standardize Enginar Tozu (74%) 370 mg,Standardize Enginar Tozu,370,mg,74%
807,106,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (26%) 130 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),130,mg.,26%
809,107,Standardize Zerdeçal Tozu (85%) 750 mg,Standardize Zerdeçal Tozu,750,mg,85%
810,107,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (15%) 130 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),130,mg.,15%
813,108,Kondroitin sülfat,Kondroitin sülfat,,,
814,108,bağ dokusu ve kıkırdak yapılarında doğal olarak bulunan bir glikozaminoglikandır. Genellikle sığır,bağ dokusu ve kıkırdak yapılarında doğal olarak bulunan bir glikozaminoglikandır. Genellikle sığır,,,
815,109,SEPE NATURALPropolis Sıvı Ekstresi 100 ml Su Bazlı Şurup,SEPE NATURALPropolis Sıvı Ekstresi,100,ml Su Bazlı Şurup,
816,109,Likit formdadır. Her servis 10 ml 'dır. Her ambalajda 10 porsiyon bulunmaktadır.,Likit formdadır. Her servis,10,ml 'dır. Her ambalajda 10 porsiyon bulunmaktadır.,
822,113,%100 Saf Aspir Tohumu Yağı - Carthamus tinctorius oleum,%,100,Saf Aspir Tohumu Yağı - Carthamus tinctorius oleum,
825,114,SEPE NATURAL CLA Aspir Yağı Yumuşak Jelatin Kapsül (Softgel) Formdadır. Her softgel 1330 mg'dır. Her ambalajda 200 softgel bulunmaktadır.,SEPE NATURAL CLA Aspir Yağı Yumuşak Jelatin Kapsül (Softgel) Formdadır. Her softgel,1330,mg'dır. Her ambalajda 200 softgel bulunmaktadır.,
827,115,Soğuk Sıkım Saf Çörekotu Tohumu Yağı (Black Seed Oil) 1.000 mg,Soğuk Sıkım Saf Çörekotu Tohumu Yağı (Black Seed Oil),1.000,mg,
829,116,SEPE NATURAL Çörekotu Yağı Black Seed Oil Yumuşak Jelatin Kapsül (Softgel) Formdadır. Her softgel 1330 mg'dır. Her ambalajda 200 softgel bulunmaktadır.,SEPE NATURAL Çörekotu Yağı Black Seed Oil Yumuşak Jelatin Kapsül (Softgel) Formdadır. Her softgel,1330,mg'dır. Her ambalajda 200 softgel bulunmaktadır.,
832,117,Bu ürüne ilk yorumu siz yapın! - Be the first to comment on this product!,Bu ürüne ilk yorumu siz yapın! - Be the first to comment on this product!,,,
833,117,Yorum Yaz,Yorum Yaz,,,
835,118,%100 Saf Hindistan Cevizi Yağı - Cocos Nucifera,%,100,Saf Hindistan Cevizi Yağı - Cocos Nucifera,
839,119,Full Potency SEPE NATURAL Herbs serisi,Full Potency SEPE NATURAL Herbs serisi,,,
840,119,yüksek kaliteli ve saf bitkiler sunar.,yüksek kaliteli ve saf bitkiler sunar.,,,
844,120,SEPE NATURAL Propolis Ekstresi Toz formdadır.,SEPE NATURAL Propolis Ekstresi Toz formdadır.,,,
846,121,SEPE NATURAL Epimedium Epimedyum Kapsül Formdadır. Her kapsül 430 mg'dır. Her ambalajda 60 kapsül bulunmaktadır.,SEPE NATURAL Epimedium Epimedyum Kapsül Formdadır. Her kapsül,430,mg'dır. Her ambalajda 60 kapsül bulunmaktadır.,
849,122,Standardize Spirulina Tozu (79%) 300 mg,Standardize Spirulina Tozu,300,mg,79%
850,122,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (21%) 80 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),80,mg.,21%
853,123,Standardize Hayıt Tohumu Tozu (78%) 450 mg,Standardize Hayıt Tohumu Tozu,450,mg,78%
854,123,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (22%) 130 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),130,mg.,22%
856,124,Standardize Korean Ginseng Kore Ginseng Ekstresi (83%) 400 mg,Standardize Korean Ginseng Kore Ginseng Ekstresi,400,mg,83%
857,124,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (17%) 80 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),80,mg.,17%
862,125,SEPE NATURAL L-Karnitin Sıvı,SEPE NATURAL L-Karnitin Sıvı,,,
863,125,su bazlı,su bazlı,,,
864,125,aromasız formu ile günlük rutine kolayca eklenebilen bir sıvı takviye formatı sunar.,aromasız formu ile günlük rutine kolayca eklenebilen bir sıvı takviye formatı sunar.,,,
865,126,Gül hidrosol,Gül hidrosol,,,
866,126,geleneksel gül suyuna benzer şekilde distilasyon yoluyla elde edilen,geleneksel gül suyuna benzer şekilde distilasyon yoluyla elde edilen,,,
867,126,uçucu yağın yanında ortaya çıkan bitkisel aromatik sudur. Yapısındaki gül kokusu sayesinde tonik,uçucu yağın yanında ortaya çıkan bitkisel aromatik sudur. Yapısındaki gül kokusu sayesinde tonik,,,
868,126,sprey veya günlük bakım ürünlerinde yumuşak ve zarif bir koku alternatifi sunar.,sprey veya günlük bakım ürünlerinde yumuşak ve zarif bir koku alternatifi sunar.,,,
869,127,SEPE NATURAL Kekik Hidrosol 200 ml,SEPE NATURAL Kekik Hidrosol,200,ml,
870,127,saf ve su bazlı likit formdadır. Tek parça 200 ml’lik şişede,saf ve su bazlı likit formdadır. Tek parça,200,ml’lik şişede,
871,127,kullanıma hazır hidrosol formatında sunulur.,kullanıma hazır hidrosol formatında sunulur.,,,
875,128,SEPE NATURAL Epimedium Ekstresi Toz formdadır.,SEPE NATURAL Epimedium Ekstresi Toz formdadır.,,,
876,129,%100 Saf Analizli L-Karnitin,%,100,Saf Analizli L-Karnitin,
877,129,L-Carnitine,L-Carnitine,,,
878,130,%100 Spirulina Tozu,%,100,Spirulina Tozu,
881,131,SEPE NATURAL Echinacea Extract Ekinezya Ekstresi Toz formdadır.,SEPE NATURAL Echinacea Extract Ekinezya Ekstresi Toz formdadır.,,,
883,132,SEPE NATURAL Epimedium Ekstresi Toz formdadır.,SEPE NATURAL Epimedium Ekstresi Toz formdadır.,,,
884,133,SEPE NATURAL Propolis Ekstresi Toz formdadır.,SEPE NATURAL Propolis Ekstresi Toz formdadır.,,,
885,134,SEPE NATURAL Guarana Ekstresi toz formdadır.,SEPE NATURAL Guarana Ekstresi toz formdadır.,,,
886,135,SEPE NATURAL Guarana Ekstresi toz formdadır.,SEPE NATURAL Guarana Ekstresi toz formdadır.,,,
887,136,SEPE NATURAL Korean Ginseng Kore Ginsengi Ekstresi Toz formdadır.,SEPE NATURAL Korean Ginseng Kore Ginsengi Ekstresi Toz formdadır.,,,
888,137,SEPE NATURAL Korean Ginseng Kore Ginsengi Ekstresi Toz formdadır.,SEPE NATURAL Korean Ginseng Kore Ginsengi Ekstresi Toz formdadır.,,,
889,138,%100 Spirulina Tozu,%,100,Spirulina Tozu,
890,139,SEPE NATURAL Gotu Kola Extract Gotu Kola Ekstresi Toz formdadır.,SEPE NATURAL Gotu Kola Extract Gotu Kola Ekstresi Toz formdadır.,,,
891,140,SEPE NATURAL Gotu Kola Extract Gotu Kola Ekstresi Toz formdadır.,SEPE NATURAL Gotu Kola Extract Gotu Kola Ekstresi Toz formdadır.,,,
892,141,Standardize Zerdeçal Tozu,Standardize Zerdeçal Tozu,,,
893,142,Standardize Zerdeçal Tozu,Standardize Zerdeçal Tozu,,,
894,143,Üzüm çekirdeği ekstresi,Üzüm çekirdeği ekstresi,,,
895,143,bitki temelli rutinine doğal bir üzüm dokunuşu eklemek isteyenler için tercih edilen bir seçenektir. Toz formu,bitki temelli rutinine doğal bir üzüm dokunuşu eklemek isteyenler için tercih edilen bir seçenektir. Toz formu,,,
896,143,içecekler ve çeşitli tariflerle kolayca karıştırılabilen,içecekler ve çeşitli tariflerle kolayca karıştırılabilen,,,
897,143,pratik ve kontrollü kullanım imkânı sunar.,pratik ve kontrollü kullanım imkânı sunar.,,,
898,144,Üzüm çekirdeği ekstresi,Üzüm çekirdeği ekstresi,,,
899,144,bitki temelli rutinine doğal bir üzüm dokunuşu eklemek isteyenler için tercih edilen bir seçenektir. Toz formu,bitki temelli rutinine doğal bir üzüm dokunuşu eklemek isteyenler için tercih edilen bir seçenektir. Toz formu,,,
900,144,içecekler ve çeşitli tariflerle kolayca karıştırılabilen,içecekler ve çeşitli tariflerle kolayca karıştırılabilen,,,
901,144,pratik ve kontrollü kullanım imkânı sunar.,pratik ve kontrollü kullanım imkânı sunar.,,,
902,145,SEPE NATURAL Ginger Zencefil Öğütülmüş formdadır.,SEPE NATURAL Ginger Zencefil Öğütülmüş formdadır.,,,
903,146,SEPE NATURAL Ginger Zencefil Öğütülmüş formdadır.,SEPE NATURAL Ginger Zencefil Öğütülmüş formdadır.,,,
904,147,Enginar yaprağı doğal yapısı gereği cynaropikrin,Enginar yaprağı doğal yapısı gereği cynaropikrin,,,
905,148,Standardize Kudret Narı Ekstresi.,Standardize Kudret Narı Ekstresi.,,,
906,150,%100 Spirulina Tozu,%,100,Spirulina Tozu,
907,151,%100 Spirulina Tozu,%,100,Spirulina Tozu,
908,152,%100 Saf Analizli L-Arjinin,%,100,Saf Analizli L-Arjinin,
909,152,L-Arginine,L-Arginine,,,
910,170,Standardize Devedikeni Tozu,Standardize Devedikeni Tozu,,,
911,153,Standardize Devedikeni Tozu (86%) 800 mg,Standardize Devedikeni Tozu,800,mg,86%
912,153,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (14%) 130 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),130,mg.,14%
913,154,Standardize Devedikeni Tozu,Standardize Devedikeni Tozu,,,
914,155,SEPE NATURAL Echinacea Extract Ekinezya Ekstresi Toz formdadır.,SEPE NATURAL Echinacea Extract Ekinezya Ekstresi Toz formdadır.,,,
915,156,%100 Saf Analizli L-Arjinin,%,100,Saf Analizli L-Arjinin,
916,156,L-Arginine,L-Arginine,,,
917,157,Standardize Maytake Mantar Ekstresi,Standardize Maytake Mantar Ekstresi,,,
918,158,Yeşil kahve ekstresi,Yeşil kahve ekstresi,,,
919,158,bitkisel içeriklerle günlük rutinini zenginleştirmek isteyenlerin son yıllarda sık tercih ettiği doğal kaynaklardan biridir. Hafif ve karakteristik bitkisel tadı nedeniyle smoothie,bitkisel içeriklerle günlük rutinini zenginleştirmek isteyenlerin son yıllarda sık tercih ettiği doğal kaynaklardan biridir. Hafif ve karakteristik bitkisel tadı nedeniyle smoothie,,,
920,158,yoğurt veya içeceklere kolayca eklenebilen pratik bir seçenektir.,yoğurt veya içeceklere kolayca eklenebilen pratik bir seçenektir.,,,
921,159,Yeşil kahve ekstresi,Yeşil kahve ekstresi,,,
922,159,bitkisel içeriklerle günlük rutinini zenginleştirmek isteyenlerin son yıllarda sık tercih ettiği doğal kaynaklardan biridir. Hafif ve karakteristik bitkisel tadı nedeniyle smoothie,bitkisel içeriklerle günlük rutinini zenginleştirmek isteyenlerin son yıllarda sık tercih ettiği doğal kaynaklardan biridir. Hafif ve karakteristik bitkisel tadı nedeniyle smoothie,,,
923,159,yoğurt veya içeceklere kolayca eklenebilen pratik bir seçenektir.,yoğurt veya içeceklere kolayca eklenebilen pratik bir seçenektir.,,,
924,160,Standardize Maytake Mantar Ekstresi,Standardize Maytake Mantar Ekstresi,,,
925,171,Standardize Brokoli Tozu (%%81) 340 mg,Standardize Brokoli Tozu,340,mg,%%81
926,171,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (%%19) 80 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),80,mg.,%%19
927,1,Standardize Brokoli Tozu (%%81) 340 mg,Standardize Brokoli Tozu,340,mg,%%81
928,1,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini) (%%19) 80 mg.,Helal Sertifikalı Jelatin Kapsül (Yenilebilir Sığır Jelatini),80,mg.,%%19
929,161,Göz temasından kaçınınız.,Göz temasından kaçınınız.,,,
930,162,Meyan Kökü (Glycyrrhiza glabra),Meyan Kökü (Glycyrrhiza glabra),,,
931,162,Fabaceae familyasına ait çok yıllık bir bitkidir. Kök yapısı karakteristik glisirhizin,Fabaceae familyasına ait çok yıllık bir bitkidir. Kök yapısı karakteristik glisirhizin,,,
932,162,flavonoidler ve saponinler içerir. Akdeniz,flavonoidler ve saponinler içerir. Akdeniz,,,
933,162,Orta Doğu ve Asya’da yaygın olarak yetişir. Geleneksel uygulamalarda uzun yıllar boyunca kullanılmıştır.,Orta Doğu ve Asya’da yaygın olarak yetişir. Geleneksel uygulamalarda uzun yıllar boyunca kullanılmıştır.,,,
934,165,bütün bitki formunu,bütün bitki formunu,,,
935,165,aktif prensipleri içeren kuru ekstrelerle bir araya getirir.Full Potency SEPE NATURAL Herbs serisi,aktif prensipleri içeren kuru ekstrelerle bir araya getirir.Full Potency SEPE NATURAL Herbs serisi,,,
936,165,yüksek kaliteli ve saf bitkiler sunar.,yüksek kaliteli ve saf bitkiler sunar.,,,
937,168,İçerdiği C vitamini,İçerdiği C vitamini,,,
938,168,yorgunluk ve bitkinliğin azalmasına ayrıca bağışıklık sisteminin normal fonksiyonuna katkıda bulunur.,yorgunluk ve bitkinliğin azalmasına ayrıca bağışıklık sisteminin normal fonksiyonuna katkıda bulunur.,,,
939,169,Standardize Propolis Ekstresi (100%) 1050 mg.,Standardize Propolis Ekstresi,1050,mg.,100%
