product_id,category_id
2,1
2,2
3,3
3,4
3,2
4,3
4,2
4,8
5,3
5,2
6,3
6,2
6,8
7,3
7,2
7,8
8,3
8,2
9,3
9,2
9,8
10,3
10,2
10,8
11,3
11,2
11,8
12,3
12,2
13,3
13,2
14,3
14,2
14,8
15,35
15,36
16,36
17,3
17,2
18,3
18,2
19,3
19,2
20,3
20,2
21,2
21,3
22,3
22,2
23,35
24,36
25,35
26,36
27,35
28,35
29,35
30,35
31,35
31,59
31,4
32,35
33,35
34,63
35,64
35,36
36,64
37,64
37,59
37,4
38,70
38,71
38,72
39,64
40,64
41,64
42,64
43,64
44,64
45,64
46,80
47,70
47,71
47,72
48,70
48,85
48,72
49,70
49,71
49,72
50,70
50,71
50,72
51,70
51,71
51,72
52,59
52,97
52,4
52,99
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,107
61,108
62,108
63,80
63,99
64,99
64,80
65,114
65,4
65,2
66,97
66,2
67,2
67,97
68,85
68,122
68,70
69,70
69,85
69,126
70,70
70,85
70,126
70,122
71,70
71,85
71,126
72,70
73,70
74,70
75,70
75,85
75,126
75,122
75,154
76,70
77,70
77,85
77,126
77,122
78,70
79,70
80,70
80,177
81,70
82,70
83,70
84,70
84,71
84,72
85,70
85,71
85,72
86,70
86,71
86,72
87,70
87,71
87,72
88,70
88,72
89,70
89,71
89,72
90,70
90,85
90,72
91,70
91,85
91,72
92,70
92,85
92,72
93,70
93,232
93,72
94,70
94,71
94,126
95,239
95,4
95,2
96,239
96,4
96,2
97,239
97,59
97,2
98,239
98,2
99,80
99,99
100,80
100,99
101,99
101,80
102,59
102,8
103,270
104,3
104,2
105,3
105,2
106,3
106,2
107,3
107,2
108,3
108,2
108,8
109,239
109,4
109,2
110,70
110,177
111,70
111,85
111,126
112,70
112,85
112,72
113,1
113,2
114,1
114,2
115,1
115,2
116,1
116,2
117,3
117,2
118,70
118,85
118,332
119,3
119,2
120,342
120,4
120,2
121,3
121,2
122,3
122,2
123,3
123,2
124,3
124,2
125,2
126,360
127,2
128,342
128,2
129,367
129,368
129,2
130,342
130,2
131,342
131,2
132,368
132,2
133,368
133,4
133,2
134,368
134,2
135,342
135,2
136,342
136,2
137,368
137,2
138,368
138,2
139,368
139,2
140,342
140,2
141,342
141,2
142,368
142,2
143,342
143,2
144,368
144,2
145,342
145,2
146,368
146,2
147,342
147,2
148,342
148,2
149,3
149,2
149,454
150,2
150,367
150,458
151,2
151,367
151,462
152,342
152,2
170,2
153,3
153,2
153,454
154,2
154,462
155,368
155,2
156,368
156,2
157,342
157,2
158,2
158,368
159,2
159,342
160,2
160,368
171,454
171,2
1,454
1,2
1,3
161,526
161,2
162,8
162,3
163,2
163,536
164,2
164,536
165,2
165,536
166,2
166,536
167,2
167,536
168,99
169,2
